item,IPA,complex,stressedV,shape,shape_group,place,type,voiced.correct,voiceless.incorrect,c1,c2,correct.first,incorrect.second,file.sg,file.pl.voiceless.reg,file.pl.voiced.irreg
oath,oʊθ,FALSE,oʊ,P,P,θ,stim,this,thin,th,th,cord,card,oUth.oath_9312,oUths.oath_7172,ouzz.oath_9201
path,pæθ,FALSE,æ,P,P,θ,stim,this,thin,th,th,hat,hate,path.path_1691,paths.path_10391,pazz.path_6952
polymath,pɑlimæθ,TRUE,æ,P_S,_P,θ,stim,this,thin,th,th,hat,hate,palimath.polymath_6831,palimaths.polymath_12512,palimazz.polymath_7352
psychopath,saɪkəpæθ,TRUE,æ,P_S,_P,θ,stim,this,thin,th,th,hat,hate,saikapath.psychopath_14541,saikapaths.psychopath_10271,saIkepazz.psychopath_1952
Sabbath,sæbəθ,FALSE,æ,P_,P_,θ,stim,this,thin,th,th,hat,hate,sabeth.Sabbath_13212,sabaths.Sabbath_13681,sabazz.Sabbath_15061
sabertooth,seɪbɚtuθ,TRUE,u,P_S,_P,θ,stim,this,thin,th,th,loot,foot,seIbertuth.sabertooth_1272,seIbertuths.sabertooth_6672,seIbertuzz.sabertooth_6112
sheath,ʃiθ,FALSE,i,P,P,θ,stim,this,thin,th,th,reek,rake,shith.sheath_4331,shiths.sheath_4792,shizz.sheath_15001
sleuth,sluθ,FALSE,u,P,P,θ,stim,this,thin,th,th,loot,foot,sluth.sleuth_15661,sluths.sleuth_531,sluzz.sleuth_7032
sloth,slɔθ,FALSE,ɔ,P,P,θ,stim,this,thin,th,th,dog,dig,sloth.sloth_8661,sloths.sloth_51,slozz.sloth_15501
strength,strɛŋθ,TRUE,ɛ,P,P,θ,stim,this,thin,th,th,let,lot,strenth.strength_4132,strenths.strength_7812,strenzz.strength_6212
swath,swɑθ,FALSE,ɑ,P,P,θ,stim,this,thin,th,th,hot,hat,swath.swath_1771,swoths.swath_5092,swozz.swath_2432
truth,truθ,FALSE,u,P,P,θ,stim,this,thin,th,th,loot,foot,truth.truth_10251,truths.truth_10121,truzz.truth_14161
vermouth,vɚmuθ,FALSE,u,SP,_P,θ,stim,this,thin,th,th,loot,foot,vermuth.vermouth_15541,vermuths.vermouth_16421,vermuzz.vermouth_9152
width,wɪtθ,FALSE,ɪ,P,P,θ,stim,this,thin,th,th,tick,tuck,witth.width_3371,wItths.width_8232,wIdzz.width_14812
wraith,reɪθ,FALSE,eɪ,P,P,θ,stim,this,thin,th,th,pale,pal,reith.wraith_4511,reIths.wraith_8932,reizz.wraith_10001
wreath,riθ,FALSE,i,P,P,θ,stim,this,thin,th,th,reek,rake,rith.wreath_1052,riths.wreath_8492,rizz.wreath_4392
youth,juθ,FALSE,u,P,P,θ,stim,this,thin,th,th,loot,foot,juth.youth_15572,juths.youth_14561,juzz.youth_12692
zenith,zinɪθ,FALSE,i,P_,P_,θ,stim,this,thin,th,th,reek,rake,zinith.zenith_5051,zinIths.zenith_6772,zinizz.zenith_7071
